datetime,open,high,low,close,volume,money,open_interest
2025-06-13 14:05:00,796.5,798.0,796.5,797.0,9,645975.0,77.0
2025-06-13 14:10:00,795.5,795.5,793.5,795.0,15,1073070.0,82.0
2025-06-13 14:20:00,795.0,796.0,793.0,796.0,17,1215585.0,87.0
2025-06-13 14:25:00,796.5,797.5,796.5,796.5,12,860670.0,86.0
2025-06-13 14:30:00,796.5,799.0,796.5,796.5,20,1436130.0,93.0
2025-06-13 14:40:00,794.5,795.5,793.5,795.5,15,1071990.0,98.0
2025-06-13 14:45:00,797.0,797.0,792.5,792.5,13,930690.0,101.0
2025-06-13 14:50:00,792.0,792.5,792.0,792.5,11,784440.0,103.0
2025-06-13 14:55:00,794.0,795.0,794.0,794.0,13,929070.0,107.0
2025-06-16 09:10:00,794.0,797.0,794.0,797.0,9,644940.0,114.0
2025-06-16 09:15:00,802.0,804.5,802.0,803.0,11,795690.0,113.0
2025-06-16 09:25:00,803.0,805.0,799.0,799.0,25,1805715.0,125.0
2025-06-16 09:30:00,799.5,799.5,799.5,799.5,8,575415.0,121.0
2025-06-16 09:45:00,799.5,801.5,799.5,801.0,15,1080630.0,128.0
2025-06-16 09:50:00,800.0,800.0,800.0,800.0,3,216000.0,127.0
2025-06-16 09:55:00,799.0,799.0,798.0,798.0,4,287415.0,128.0
2025-06-16 10:00:00,797.5,801.0,797.5,799.0,21,1510380.0,135.0
2025-06-16 10:05:00,799.0,800.5,799.0,800.5,5,359865.0,140.0
2025-06-16 10:10:00,800.0,800.0,800.0,800.0,7,504045.0,140.0
2025-06-16 10:30:00,810.5,810.5,800.0,800.0,7,509130.0,135.0
2025-06-16 10:35:00,799.5,801.0,799.5,801.0,11,792540.0,138.0
2025-06-16 10:40:00,800.5,802.5,800.5,801.5,14,1009800.0,142.0
2025-06-16 11:00:00,801.5,801.5,801.5,801.5,3,216405.0,145.0
2025-06-16 11:10:00,802.0,805.0,802.0,802.5,26,1879560.0,152.0
2025-06-16 11:15:00,802.0,802.0,802.0,802.0,1,72180.0,151.0
2025-06-16 11:20:00,802.0,805.0,802.0,803.5,12,867960.0,154.0
2025-06-16 13:40:00,803.5,804.5,801.0,802.0,17,1228410.0,157.0
2025-06-16 13:50:00,804.0,804.0,804.0,804.0,7,506385.0,163.0
2025-06-16 13:55:00,805.5,805.5,801.5,804.5,19,1374075.0,173.0
2025-06-16 14:00:00,804.0,804.0,803.0,803.0,9,651105.0,171.0
2025-06-16 14:10:00,801.5,801.5,799.0,799.5,16,1152585.0,175.0
2025-06-16 14:15:00,801.0,801.0,801.0,801.0,3,216225.0,175.0
2025-06-16 14:20:00,801.5,804.0,801.5,803.5,24,1733265.0,187.0
2025-06-16 14:25:00,804.5,807.0,804.5,805.0,15,1087920.0,187.0
2025-06-16 14:30:00,805.0,805.0,805.0,805.0,1,72450.0,186.0
2025-06-16 14:40:00,805.5,807.0,805.5,807.0,10,725805.0,189.0
2025-06-16 14:50:00,805.5,805.5,804.5,805.5,12,869400.0,191.0
2025-06-16 14:55:00,802.5,802.5,802.5,802.5,2,144450.0,193.0
2025-06-17 09:20:00,806.0,806.5,806.0,806.5,4,290250.0,196.0
2025-06-17 09:25:00,808.5,809.5,806.5,809.0,25,1817550.0,203.0
2025-06-17 09:30:00,808.5,810.5,808.5,810.5,7,509580.0,202.0
2025-06-17 09:35:00,809.0,809.0,807.5,808.0,12,872865.0,204.0
2025-06-17 09:45:00,809.5,813.0,809.5,813.0,15,1095030.0,210.0
2025-06-17 09:50:00,811.5,811.5,810.0,811.5,10,729945.0,215.0
2025-06-17 09:55:00,813.5,813.5,812.5,812.5,6,438885.0,215.0
2025-06-17 10:00:00,810.5,813.5,810.5,813.5,8,584325.0,219.0
2025-06-17 10:05:00,813.0,813.0,812.0,812.0,5,365805.0,217.0
2025-06-17 10:35:00,813.0,814.5,812.5,814.5,5,365940.0,220.0
2025-06-17 10:45:00,812.0,812.5,812.0,812.5,6,438525.0,224.0
2025-06-17 10:50:00,813.0,816.5,813.0,814.0,22,1614780.0,224.0
2025-06-17 10:55:00,810.0,812.0,810.0,812.0,7,510525.0,229.0
2025-06-17 11:00:00,813.0,813.0,810.0,810.0,9,657225.0,228.0
2025-06-17 11:05:00,806.0,808.0,804.5,808.0,25,1812150.0,237.0
2025-06-17 11:10:00,806.5,806.5,804.5,804.5,8,580365.0,235.0
